NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1253-0393155,299.5385167,35.3513250,YM,B,2.0,2.0,4.0,1.0,18.170,Y,16.850,Y,16.030,B,12.964,12.086,11.785,
1253-0393175,299.5407217,35.3459125,YM,C,4.1,5.4,-8.2,5.6,15.320,Y,14.930,Y,15.130,B,13.714,13.317,13.280,
1253-0393200,299.5462419,35.3393481,YM,C,-0.8,5.4,-0.9,5.5,16.040,Y,14.850,Y,14.430,B,11.136,10.333,10.069,
1253-0393206,299.5475250,35.3469167,YM,B,0.0,0.0,0.0,0.0,17.910,Y,17.510,Y,,,15.111,14.478,14.480,
1253-0393214,299.5491561,35.3457136,YM,C,-4.4,5.4,-6.7,5.4,17.080,Y,15.480,Y,13.680,B,10.494,9.414,9.045,
1253-0393174,299.5407194,35.3655750,YM,B,-10.0,2.0,-4.0,6.0,19.040,B,17.110,Y,16.550,B,13.580,12.743,12.385,
1253-0393197,299.5455722,35.3590278,YM,B,-6.0,1.0,2.0,1.0,19.390,B,17.300,Y,17.280,B,15.596,14.912,14.775,
1253-0393201,299.5466917,35.3644722,YM,B,0.0,0.0,0.0,0.0,17.380,Y,15.830,Y,15.020,B,9.189,7.950,7.432,
1253-0393203,299.5468250,35.3549528,YM,B,0.0,0.0,0.0,0.0,19.090,B,17.510,Y,16.470,B,12.830,11.826,11.478,
1253-0393213,299.5491472,35.3621194,YM,B,0.0,0.0,0.0,0.0,18.350,Y,16.880,Y,16.170,B,13.093,12.128,11.868,
1253-0393219,299.5501000,35.3604583,YM,B,0.0,0.0,0.0,0.0,19.230,B,17.970,Y,16.930,B,14.558,13.744,13.448,
1253-0393238,299.5541444,35.3548083,YM,B,0.0,0.0,0.0,0.0,18.140,Y,17.500,Y,17.260,B,15.641,14.920,15.016,
1253-0393243,299.5561500,35.3476500,YM,B,0.0,0.0,0.0,0.0,18.350,Y,17.850,Y,17.140,B,15.307,14.656,14.509,
1253-0393246,299.5568222,35.3656833,YM,B,0.0,0.0,0.0,0.0,19.240,B,17.550,Y,16.700,B,14.039,13.211,12.903,
1253-0393262,299.5593194,35.3522361,YM,B,0.0,6.0,12.0,0.0,,,17.970,Y,17.940,B,16.228,15.483,14.923,
1253-0393270,299.5610464,35.3646614,YM,C,13.3,5.4,-7.0,5.4,14.220,Y,13.850,Y,14.180,B,12.646,12.287,12.178,
