NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1250-0385862,299.4783042,35.0718208,YM,C,5.4,5.4,0.7,5.4,13.660,Y,13.550,Y,13.920,B,12.448,12.194,12.175,
1250-0385866,299.4787361,35.0582389,YM,B,0.0,0.0,0.0,0.0,20.310,B,16.980,Y,17.620,B,12.701,11.384,10.922,
1250-0385901,299.4858761,35.0753583,YM,C,-0.4,5.4,0.1,5.4,14.250,Y,14.050,Y,14.380,B,12.660,12.354,12.311,
1250-0385905,299.4861300,35.0520186,YM,C,-6.0,5.4,17.5,5.4,14.480,Y,13.900,Y,14.090,B,12.220,11.655,11.565,
1250-0385908,299.4867806,35.0785528,YM,Y,40.7,9.0,38.8,9.0,17.130,Y,16.910,Y,,,16.631,15.733,14.789,
1250-0385910,299.4869222,35.0644278,YM,B,0.0,0.0,0.0,0.0,20.150,B,17.060,Y,17.680,B,14.773,14.003,13.724,
1250-0385928,299.4900056,35.0861194,YM,B,0.0,0.0,0.0,0.0,18.210,Y,17.170,Y,16.630,B,14.884,14.359,14.137,
1250-0385932,299.4909194,35.0729389,YM,B,6.0,4.0,4.0,1.0,17.770,Y,17.000,Y,16.370,B,13.692,13.106,12.923,
1250-0385957,299.4964861,35.0736806,YM,B,18.0,3.0,-8.0,5.0,19.240,B,16.860,Y,17.350,B,15.273,14.596,14.307,
1250-0386010,299.5075114,35.0681778,YM,C,2.4,5.4,2.5,5.4,14.300,Y,14.020,Y,14.300,B,12.426,12.140,12.042,
1250-0386064,299.5158417,35.0711833,YM,B,0.0,0.0,0.0,0.0,18.350,Y,17.680,Y,16.730,B,14.942,14.349,14.189,
1250-0386091,299.5225625,35.0563825,YM,C,-6.0,6.8,-9.5,5.5,17.800,Y,16.340,Y,15.670,B,11.902,10.873,10.533,
1250-0386099,299.5234111,35.0774139,YM,B,4.0,4.0,-14.0,2.0,17.980,Y,17.420,Y,16.810,B,15.310,14.727,14.518,
1250-0386130,299.5295694,35.0835611,YM,B,0.0,0.0,0.0,0.0,18.520,o,17.480,Y,15.330,B,13.157,12.305,11.977,
1250-0386156,299.5328375,35.0819675,YM,C,-15.9,3.7,-5.9,4.1,13.440,Y,13.090,Y,13.030,B,11.556,11.234,11.182,
1250-0386158,299.5330194,35.0509925,YM,C,5.3,5.4,13.0,6.4,15.900,Y,15.340,Y,15.180,B,12.973,12.336,12.191,
1250-0386162,299.5337250,35.0646250,YM,B,0.0,0.0,0.0,0.0,16.830,Y,16.440,Y,16.120,B,13.580,13.051,12.852,
1250-0386173,299.5352861,35.0569833,YM,B,0.0,0.0,0.0,0.0,19.770,B,17.770,Y,17.430,B,14.795,13.855,13.603,
1250-0386174,299.5355000,35.0784750,YM,B,0.0,0.0,0.0,0.0,16.580,Y,16.430,Y,15.780,B,13.984,13.544,13.394,
1250-0386198,299.5392889,35.0728389,YM,B,0.0,0.0,0.0,0.0,17.410,B,16.670,Y,,,13.888,12.797,12.573,
1250-0386204,299.5399639,35.0707611,YM,B,0.0,0.0,0.0,0.0,17.460,Y,16.820,Y,15.940,B,14.026,13.492,13.275,
1250-0386205,299.5402278,35.0732778,YM,Y,7.5,9.0,-4.1,9.0,17.360,Y,17.850,Y,,,14.596,13.055,12.817,
1250-0386223,299.5439306,35.0726833,YM,B,46.0,1.0,-2.0,1.0,17.260,o,17.340,Y,16.260,B,14.492,14.089,13.759,
1250-0386258,299.5486611,35.0645833,YM,B,8.0,2.0,0.0,3.0,16.930,Y,16.420,Y,15.920,B,15.035,14.590,14.538,
1250-0386261,299.5494944,35.0678306,YM,B,6.0,2.0,-2.0,1.0,19.170,B,17.070,Y,16.550,B,13.805,13.173,12.898,
1250-0386159,299.5332000,35.0923417,YM,B,0.0,0.0,0.0,0.0,19.510,B,17.640,Y,16.910,B,13.445,12.444,12.099,
1250-0386190,299.5381417,35.0976250,YM,B,0.0,0.0,0.0,0.0,17.030,Y,16.670,Y,15.970,B,14.810,14.218,14.082,
1250-0386191,299.5382389,35.0910444,YM,B,0.0,0.0,0.0,0.0,17.290,Y,16.850,Y,16.030,B,14.012,13.563,13.400,
1250-0386214,299.5420556,35.0833694,YM,B,0.0,0.0,0.0,0.0,17.360,Y,17.150,Y,15.190,B,15.214,14.701,14.618,
1250-0386227,299.5442389,35.0904028,YM,B,0.0,0.0,0.0,0.0,19.590,B,17.730,Y,17.210,B,14.845,14.076,13.882,
1250-0386253,299.5480583,35.0737917,YM,B,0.0,0.0,0.0,0.0,19.700,B,17.420,Y,16.650,B,13.330,12.349,12.037,
1250-0386272,299.5521389,35.0977694,YM,B,4.0,1.0,2.0,8.0,19.680,B,17.850,Y,17.390,B,16.410,15.692,15.423,
1250-0386274,299.5523611,35.0789389,YM,B,0.0,0.0,0.0,0.0,19.130,B,17.770,Y,17.070,B,15.801,15.195,14.996,
1250-0386282,299.5533694,35.0933056,YM,B,10.0,6.0,-16.0,5.0,18.830,B,17.800,Y,16.230,B,14.643,14.058,13.893,
1250-0386293,299.5555778,35.0919083,YM,B,0.0,0.0,0.0,0.0,17.280,Y,17.090,Y,16.420,B,15.480,15.025,14.929,
1250-0386336,299.5654750,35.0819472,YM,B,0.0,0.0,0.0,0.0,16.230,Y,16.040,Y,15.770,B,14.413,14.021,13.967,
1250-0386348,299.5679222,35.0875778,YM,B,6.0,3.0,4.0,1.0,17.620,Y,17.180,Y,16.710,B,15.494,14.962,15.086,
1250-0385953,299.4957572,35.0927297,YM,C,3.6,5.5,2.7,5.4,15.030,Y,14.670,Y,14.190,B,13.114,12.761,12.681,
1250-0385987,299.5028861,35.0911111,YM,B,0.0,0.0,0.0,0.0,17.160,Y,16.850,Y,16.130,B,13.611,13.083,12.851,
1250-0385992,299.5034111,35.0859861,YM,B,0.0,0.0,0.0,0.0,17.750,Y,17.220,Y,16.780,B,15.400,14.868,14.692,
1250-0386004,299.5059167,35.0743139,YM,B,0.0,0.0,0.0,0.0,19.860,B,17.420,Y,17.660,B,15.085,14.375,14.143,
1250-0386020,299.5089944,35.0844000,YM,B,0.0,0.0,0.0,0.0,17.680,Y,17.150,Y,16.500,B,15.175,14.445,14.345,
1250-0386033,299.5105139,35.0802083,YM,B,0.0,0.0,0.0,0.0,18.900,B,17.580,Y,16.790,B,13.971,13.358,13.112,
1250-0386041,299.5118472,35.0784417,YM,B,14.0,5.0,0.0,9.0,20.110,B,17.560,Y,18.060,B,15.599,14.669,14.358,
1251-0389174,299.5028167,35.1007278,YM,B,4.0,1.0,4.0,9.0,16.430,o,16.550,Y,15.370,B,14.891,14.384,14.249,
1251-0389207,299.5086083,35.1049278,YM,B,0.0,0.0,0.0,0.0,19.110,B,17.320,Y,16.440,B,12.632,11.615,11.275,
1250-0386112,299.5261444,35.0972667,YM,B,0.0,5.0,-12.0,4.0,19.470,B,17.900,Y,17.570,B,15.460,14.743,14.663,
1251-0389303,299.5267506,35.1299797,YM,C,2.2,6.4,-4.3,6.2,16.080,Y,15.640,Y,15.700,B,14.064,13.555,13.396,
1251-0389313,299.5285106,35.1215353,YM,C,-1.9,6.0,-0.9,6.2,15.720,Y,15.360,Y,15.510,B,14.035,13.625,13.494,
1251-0389317,299.5288583,35.1037278,YM,B,-10.0,8.0,-8.0,1.0,17.890,Y,17.280,Y,16.910,B,15.505,14.922,14.295,
1251-0389331,299.5314556,35.1209194,YM,B,0.0,0.0,0.0,0.0,16.020,Y,15.980,Y,16.060,B,14.551,14.228,14.192,
1251-0389371,299.5397111,35.1241083,YM,B,0.0,0.0,0.0,0.0,16.870,Y,16.500,Y,15.520,B,15.038,14.660,14.589,
1251-0389389,299.5422528,35.1227917,YM,B,0.0,0.0,0.0,0.0,19.270,B,17.830,Y,17.040,B,14.897,14.308,13.964,
1251-0389418,299.5493056,35.1160083,YM,B,0.0,0.0,0.0,0.0,,,17.860,Y,18.970,e,16.221,15.422,15.384,
1250-0386532,299.6010458,35.0680042,YM,C,-4.4,5.9,-1.6,5.5,16.310,Y,15.220,Y,13.920,B,11.530,10.752,10.481,
1250-0386558,299.6061194,35.0738583,YM,B,0.0,0.0,0.0,0.0,17.930,Y,17.780,Y,16.840,B,16.010,15.250,15.048,
1250-0386564,299.6071028,35.0679139,YM,B,2.0,2.0,-10.0,2.0,17.250,Y,16.890,Y,16.010,B,14.256,13.544,13.361,
1250-0386565,299.6071167,35.0718444,YM,B,0.0,0.0,0.0,0.0,19.000,B,17.820,Y,17.140,B,15.397,14.964,14.644,
1250-0386583,299.6109278,35.0687683,YM,C,-4.5,6.9,-12.5,5.4,14.960,Y,14.940,Y,14.610,B,13.413,13.088,12.964,
1250-0386590,299.6131778,35.0768694,YM,B,10.0,4.0,-4.0,1.0,18.870,B,17.950,Y,16.250,B,13.301,12.335,12.002,
1250-0386598,299.6144083,35.0796972,YM,B,0.0,0.0,0.0,0.0,18.920,B,17.890,Y,17.150,B,15.653,15.255,15.003,
1250-0386616,299.6175744,35.0800328,YM,C,-6.3,6.0,-3.4,5.4,16.410,Y,16.190,Y,15.140,B,13.808,13.333,13.226,
1250-0386620,299.6181528,35.0460389,YM,Y,-6.7,9.0,15.0,9.0,,,17.970,Y,,,15.551,14.932,14.593,
1250-0386631,299.6205967,35.0625583,YM,C,4.0,5.5,-10.2,5.4,15.190,Y,14.910,Y,14.460,B,13.432,12.978,12.907,
1250-0386647,299.6229556,35.0530639,YM,B,26.0,10.0,-8.0,7.0,17.890,B,16.850,Y,,,15.755,14.390,15.044,
1250-0386649,299.6230667,35.0590972,YM,B,0.0,0.0,0.0,0.0,19.220,B,17.530,Y,17.110,B,15.683,15.112,15.025,
1250-0386695,299.6304044,35.0626381,YM,C,-2.3,5.4,0.4,5.4,13.480,Y,13.640,Y,13.260,B,12.290,12.014,11.939,
1250-0386709,299.6330222,35.0633694,YM,B,0.0,0.0,0.0,0.0,17.330,B,17.950,Y,15.980,B,14.688,14.128,13.920,
1250-0386722,299.6348833,35.0619583,YM,B,0.0,0.0,0.0,0.0,19.230,B,17.970,Y,17.250,B,15.455,14.903,14.776,
1250-0386741,299.6382167,35.0693389,YM,B,0.0,0.0,0.0,0.0,18.070,B,17.830,Y,16.560,B,15.002,14.416,14.352,
1250-0386691,299.6291000,35.0959417,YM,B,0.0,0.0,0.0,0.0,19.080,B,17.750,Y,16.070,B,12.519,11.393,11.038,
1250-0386757,299.6418306,35.0726583,YM,B,0.0,0.0,0.0,0.0,18.290,B,17.740,Y,16.620,B,14.731,14.211,13.958,
1250-0386809,299.6523333,35.0871528,YM,Y,-57.6,9.0,54.0,9.0,,,17.250,Y,,,15.887,14.734,14.326,
1251-0389902,299.6417869,35.1014864,YM,C,1.9,5.5,4.1,7.8,15.960,Y,15.490,Y,15.100,B,14.075,13.734,13.507,
1251-0389947,299.6507917,35.1024889,YM,Y,-24.9,9.0,110.7,9.0,,,17.390,Y,,,16.756,16.211,15.759,
1250-0386413,299.5800667,35.0891417,YM,B,0.0,0.0,0.0,0.0,17.040,Y,16.850,Y,17.800,B,15.701,15.157,14.746,
1250-0386438,299.5835500,35.0983500,YM,B,-6.0,0.0,-6.0,4.0,19.110,B,17.850,Y,17.200,B,15.672,14.880,15.006,
1250-0386467,299.5882861,35.0971139,YM,B,0.0,0.0,0.0,0.0,17.540,Y,16.750,Y,16.070,B,14.948,14.545,14.313,
1250-0386510,299.5968278,35.0888028,YM,B,10.0,3.0,0.0,3.0,18.350,Y,17.970,Y,16.740,B,15.416,14.755,14.692,
1250-0386533,299.6011528,35.0938028,YM,B,0.0,0.0,0.0,0.0,18.040,Y,17.970,Y,16.550,B,14.801,14.570,14.057,
1250-0386543,299.6026083,35.0978861,YM,B,0.0,0.0,0.0,0.0,17.580,Y,17.400,Y,16.130,B,14.070,13.519,13.292,
1250-0386557,299.6060028,35.0908500,YM,B,0.0,0.0,0.0,0.0,16.430,Y,16.020,Y,15.280,B,14.298,13.753,13.865,
1250-0386566,299.6071833,35.0864611,YM,B,14.0,2.0,0.0,2.0,19.030,B,17.800,Y,16.970,B,15.099,14.438,14.185,
1251-0389676,299.5964500,35.1100417,YM,B,0.0,0.0,0.0,0.0,18.260,B,17.100,Y,16.000,B,12.888,11.970,11.664,
1250-0386618,299.6179833,35.0927278,YM,B,6.0,2.0,-4.0,2.0,18.320,B,17.580,Y,16.310,B,14.035,13.478,13.237,
1250-0386637,299.6212111,35.0969750,YM,B,0.0,0.0,0.0,0.0,19.030,B,17.800,Y,16.520,B,14.228,13.353,12.944,
1251-0389696,299.6010972,35.1154556,YM,B,8.0,3.0,2.0,2.0,18.300,B,17.100,Y,16.850,B,15.721,15.336,15.108,
1251-0389724,299.6045811,35.1091208,YM,C,3.9,5.6,-4.0,6.1,16.930,Y,15.820,Y,14.810,B,11.713,10.917,10.634,
1251-0389760,299.6111583,35.1249750,YM,B,0.0,0.0,0.0,0.0,18.830,B,17.970,Y,16.490,B,15.137,14.539,14.279,
1251-0389779,299.6147472,35.1156361,YM,B,0.0,0.0,0.0,0.0,17.390,Y,17.060,Y,16.600,B,15.441,15.018,14.816,
1251-0389791,299.6169247,35.1024794,YM,C,-11.6,5.6,-7.9,5.6,15.980,Y,15.660,Y,15.280,B,14.058,13.712,13.575,
1251-0389803,299.6209889,35.1280361,YM,B,0.0,0.0,0.0,0.0,17.830,Y,17.320,Y,16.330,B,15.646,14.234,13.907,
1251-0389860,299.6328694,35.1065056,YM,B,0.0,0.0,0.0,0.0,16.750,Y,16.570,Y,16.060,B,14.765,14.314,14.240,
1251-0389944,299.6505414,35.1225950,YM,C,4.8,3.7,18.3,4.1,13.290,Y,13.060,Y,12.770,B,11.814,11.508,11.463,
1251-0389969,299.6554528,35.1217722,YM,B,0.0,0.0,0.0,0.0,17.360,Y,16.420,Y,15.140,B,12.330,11.487,11.198,
1251-0389985,299.6572583,35.1028306,YM,B,-14.0,2.0,-26.0,2.0,,,17.970,Y,16.990,B,14.096,13.210,12.871,
1251-0390011,299.6607389,35.1335389,YM,B,0.0,0.0,0.0,0.0,16.700,o,16.660,Y,17.910,B,16.326,15.928,15.387,
1251-0390023,299.6631417,35.1161722,YM,B,0.0,0.0,0.0,0.0,19.180,B,17.090,Y,16.050,B,12.378,11.262,10.875,
1251-0390038,299.6649278,35.1128500,YM,B,0.0,0.0,0.0,0.0,18.660,B,17.210,Y,16.840,B,15.214,14.563,14.316,
1251-0390065,299.6705417,35.1129750,YM,B,0.0,0.0,0.0,0.0,17.890,Y,17.270,Y,16.310,B,14.819,14.253,14.204,
1251-0390076,299.6727139,35.1157222,YM,B,0.0,0.0,0.0,0.0,19.080,B,17.960,Y,17.320,B,15.964,15.288,15.067,
1251-0390092,299.6764850,35.1198108,YM,C,2.3,5.4,-2.7,5.5,15.560,Y,15.090,Y,14.850,B,13.516,12.992,12.918,
1251-0390110,299.6791908,35.1141892,YM,C,-1.7,5.7,-3.0,5.6,15.970,Y,15.670,Y,14.360,B,13.438,12.820,12.674,
1251-0390115,299.6807222,35.1132972,YM,Y,16.0,9.0,-24.1,9.0,17.480,Y,17.120,Y,,,14.003,13.523,13.276,
1251-0390074,299.6726081,35.1414589,YM,C,-9.7,5.4,-7.8,5.4,14.650,Y,14.220,Y,14.350,B,13.056,12.675,12.605,
1251-0390080,299.6737028,35.1350583,YM,B,18.0,5.0,16.0,1.0,15.550,Y,15.070,Y,14.850,B,13.561,12.933,12.990,
1251-0390088,299.6759778,35.1344000,YM,B,0.0,0.0,0.0,0.0,18.620,B,17.890,Y,16.790,B,15.935,15.114,14.967,
1251-0390111,299.6798056,35.1401111,YM,B,0.0,0.0,0.0,0.0,17.600,Y,17.170,Y,15.890,B,13.935,13.329,13.121,
1251-0390116,299.6809917,35.1372194,YM,B,6.0,0.0,10.0,2.0,16.880,Y,16.400,Y,16.050,B,14.788,14.269,14.090,
1251-0390117,299.6810722,35.1301167,YM,B,0.0,0.0,0.0,0.0,19.540,B,17.970,Y,16.880,B,13.893,12.919,12.612,
1251-0390122,299.6820944,35.1541528,YM,B,0.0,0.0,0.0,0.0,,,17.970,Y,17.860,e,15.073,14.233,13.967,
1251-0390140,299.6850289,35.1359936,YM,C,-2.2,5.4,-3.2,5.4,15.580,Y,15.490,Y,15.130,B,14.034,13.669,13.527,
1251-0390150,299.6871222,35.1447333,YM,B,14.0,4.0,12.0,5.0,18.350,Y,17.660,Y,16.550,B,15.048,14.346,14.092,
1251-0390188,299.6930939,35.1257183,YM,C,-1.1,5.4,-8.8,5.5,14.800,Y,14.440,Y,14.470,B,12.901,12.556,12.439,
1251-0390205,299.6961456,35.1279067,YM,C,-4.9,5.4,1.3,5.4,14.480,Y,14.100,Y,13.770,B,11.742,11.399,11.224,
1251-0389831,299.6255444,35.1313306,YM,B,0.0,0.0,0.0,0.0,17.850,Y,17.800,Y,17.030,B,15.093,14.585,14.529,
1251-0389837,299.6262917,35.1356250,YM,B,0.0,0.0,0.0,0.0,19.280,B,16.340,Y,17.060,B,14.678,13.900,13.730,
1251-0389850,299.6294444,35.1335722,YM,B,0.0,0.0,0.0,0.0,18.820,B,17.800,Y,16.140,B,12.756,11.768,11.368,
1251-0389868,299.6345464,35.1347811,YM,C,1.4,5.4,2.6,5.5,15.640,Y,15.040,Y,14.790,B,13.121,12.613,12.518,
1251-0389876,299.6366139,35.1297028,YM,B,0.0,0.0,0.0,0.0,17.140,Y,16.910,Y,15.650,B,15.407,14.881,14.810,
1251-0389916,299.6443694,35.1297028,YM,B,0.0,0.0,0.0,0.0,18.780,B,16.730,Y,16.740,B,14.317,13.717,13.446,
1251-0389918,299.6444747,35.1232831,YM,C,2.8,5.4,-11.9,5.4,14.120,Y,14.030,Y,13.660,B,12.448,11.948,11.767,
1251-0389927,299.6471194,35.1525167,YM,B,4.0,1.0,-10.0,1.0,19.360,B,17.840,Y,17.130,B,15.654,14.853,14.791,
1251-0389964,299.6539917,35.1397750,YM,B,0.0,0.0,0.0,0.0,19.980,B,17.970,Y,17.680,B,15.775,15.108,14.914,
1251-0389976,299.6564111,35.1374222,YM,B,6.0,1.0,2.0,2.0,18.460,B,17.390,Y,16.280,B,13.990,13.426,13.150,
1251-0389959,299.6528619,35.1676719,YM,C,-1.8,0.7,-3.8,1.2,13.070,Y,12.840,Y,12.070,B,11.452,11.179,11.125,
1251-0389980,299.6567083,35.1706194,YM,B,0.0,0.0,0.0,0.0,16.830,Y,16.950,Y,15.890,B,14.846,14.208,14.069,
1251-0389996,299.6584139,35.1615972,YM,B,0.0,0.0,0.0,0.0,19.310,B,17.890,Y,16.990,B,15.371,15.009,14.596,
1251-0389997,299.6589444,35.1430694,YM,B,10.0,2.0,4.0,1.0,18.410,B,16.590,Y,15.570,B,12.493,11.564,11.256,
1251-0390002,299.6593417,35.1670278,YM,B,16.0,5.0,4.0,6.0,15.560,B,15.280,Y,14.370,B,13.830,13.362,13.311,
1251-0390010,299.6606028,35.1673111,YM,B,-6.0,10.0,-14.0,4.0,15.280,Y,17.720,Y,16.520,B,15.115,14.596,14.314,
1251-0390012,299.6608111,35.1472361,YM,Y,44.3,9.0,-5.1,9.0,,,17.190,Y,,,16.088,15.131,14.410,
1251-0390033,299.6643503,35.1730522,YM,C,-1.5,5.4,-5.3,5.4,15.090,Y,14.950,Y,15.010,B,13.666,13.275,13.184,
1251-0390034,299.6643833,35.1665833,YM,B,0.0,0.0,0.0,0.0,,,17.970,Y,17.970,e,16.265,15.358,15.416,
1251-0390069,299.6714681,35.1617928,YM,C,-2.8,5.4,5.8,5.6,18.250,B,16.610,Y,14.940,B,11.664,10.535,10.159,
1251-0390072,299.6721167,35.1487444,YM,B,-8.0,7.0,-8.0,2.0,19.670,B,17.160,Y,17.250,B,15.772,15.121,15.105,
1251-0390073,299.6724278,35.1512944,YM,B,0.0,0.0,0.0,0.0,19.350,B,17.970,Y,16.840,B,14.166,13.195,12.920,
1251-0390099,299.6779750,35.1518750,YM,B,0.0,0.0,0.0,0.0,18.390,B,17.030,Y,15.660,e,12.851,11.916,11.606,
1250-0386414,299.5801158,35.0966319,YM,C,3.6,5.4,-4.7,5.4,13.820,Y,13.580,Y,13.300,B,12.129,11.846,11.786,
1251-0389504,299.5660611,35.1110000,YM,B,0.0,0.0,0.0,0.0,17.250,Y,16.430,Y,16.030,B,14.704,14.176,14.179,
1251-0389518,299.5688472,35.1235361,YM,B,-16.0,2.0,-22.0,4.0,19.160,B,17.290,Y,16.380,B,13.699,12.750,12.400,
1251-0389578,299.5786528,35.1264444,YM,B,-10.0,2.0,0.0,2.0,18.860,B,17.970,Y,16.970,B,15.391,14.919,14.775,
1251-0389595,299.5814528,35.1158892,YM,C,-3.1,5.4,-6.8,5.6,17.460,Y,16.350,Y,15.000,B,12.151,11.347,11.053,
1251-0389603,299.5828306,35.1128306,YM,B,0.0,0.0,0.0,0.0,17.410,Y,17.140,Y,16.170,B,14.730,14.022,13.916,
1251-0389606,299.5833861,35.1191500,YM,B,0.0,0.0,0.0,0.0,16.760,Y,16.400,Y,15.810,B,14.651,14.138,14.009,
1251-0389570,299.5778361,35.1341722,YM,Y,8.4,9.0,-14.5,9.0,,,17.680,Y,,,13.388,12.462,12.125,
1251-0389584,299.5792986,35.1356489,YM,C,11.0,5.6,-8.7,5.4,15.610,Y,15.560,Y,14.670,B,14.071,13.718,13.533,
1251-0389621,299.5868694,35.1405833,YM,B,0.0,0.0,0.0,0.0,19.050,B,17.410,Y,16.010,B,12.946,11.974,11.618,
1251-0389647,299.5906861,35.1292694,YM,Y,-75.5,9.0,29.6,9.0,17.500,Y,16.470,Y,,,16.475,15.253,15.217,
1251-0389655,299.5921333,35.1453722,YM,Y,92.4,9.0,3.5,9.0,,,16.890,Y,,,16.474,15.897,15.483,
1251-0389659,299.5935194,35.1498306,YM,B,4.0,1.0,2.0,2.0,17.280,Y,17.380,Y,16.270,B,15.425,15.038,14.833,
1251-0389660,299.5939472,35.1329944,YM,B,0.0,0.0,0.0,0.0,19.020,B,17.720,Y,16.200,B,13.301,12.403,12.067,
1251-0389674,299.5958139,35.1190972,YM,B,0.0,0.0,0.0,0.0,18.960,B,17.970,Y,15.920,B,13.797,12.925,12.609,
1251-0389675,299.5963361,35.1249444,YM,B,0.0,0.0,0.0,0.0,19.230,B,17.830,Y,17.150,B,15.486,14.794,14.644,
1251-0389684,299.5980028,35.1325389,YM,B,0.0,0.0,0.0,0.0,18.660,B,17.260,Y,15.850,B,12.163,11.071,10.692,
1251-0389708,299.6022778,35.1499583,YM,B,0.0,0.0,0.0,0.0,17.490,Y,16.560,Y,15.690,B,13.819,13.253,13.029,
1251-0389726,299.6047581,35.1327558,YM,C,-13.6,5.4,-10.4,6.8,17.400,Y,16.180,Y,14.610,B,11.983,11.184,10.846,
1251-0389731,299.6055778,35.1361056,YM,B,16.0,3.0,8.0,8.0,17.620,Y,17.260,Y,16.020,B,15.273,14.821,14.541,
1251-0389735,299.6059667,35.1243694,YM,B,0.0,0.0,0.0,0.0,18.870,B,17.720,Y,15.740,B,10.032,8.704,8.166,
1251-0389783,299.6153222,35.1338250,YM,B,-4.0,1.0,-16.0,2.0,19.770,B,17.630,Y,17.740,B,16.042,15.262,15.294,
1251-0389363,299.5384778,35.1355306,YM,B,0.0,0.0,0.0,0.0,17.980,Y,17.310,Y,16.540,B,15.115,14.657,14.433,
1251-0389368,299.5390867,35.1297400,YM,C,4.9,6.0,-4.4,5.4,15.410,Y,15.080,Y,14.740,B,13.642,13.117,13.445,
1251-0389379,299.5408167,35.1364167,YM,B,0.0,0.0,0.0,0.0,17.710,Y,17.340,Y,15.950,B,13.050,12.138,11.827,
1251-0389383,299.5412250,35.1387278,YM,B,0.0,0.0,0.0,0.0,19.760,B,17.970,Y,16.570,B,13.753,12.762,12.407,
1251-0389416,299.5487583,35.1348889,YM,B,-58.0,5.0,142.0,8.0,,,17.930,Y,18.800,B,15.243,14.118,13.660,
1251-0389429,299.5523556,35.1323694,YM,B,0.0,0.0,0.0,0.0,,,17.880,Y,18.030,B,15.928,15.105,14.859,
1251-0389431,299.5526583,35.1462778,YM,B,0.0,0.0,0.0,0.0,19.190,B,17.540,Y,16.340,B,14.000,13.298,13.041,
1251-0389460,299.5570472,35.1191139,YM,B,-4.0,2.0,-4.0,0.0,17.880,Y,16.820,Y,16.620,B,15.523,14.977,14.647,
1251-0389468,299.5582194,35.1390500,YM,B,-14.0,3.0,-22.0,6.0,18.180,Y,17.510,Y,16.630,B,15.772,15.182,14.919,
1251-0389472,299.5588611,35.1500222,YM,B,0.0,0.0,0.0,0.0,19.640,B,17.640,Y,17.170,B,15.332,14.856,14.582,
1251-0389478,299.5611203,35.1224411,YM,C,-1.7,5.5,-7.2,5.4,17.850,Y,16.380,Y,14.970,B,11.990,11.072,10.757,
1251-0389492,299.5632972,35.1525000,YM,B,0.0,0.0,0.0,0.0,19.540,B,17.970,Y,16.450,B,13.573,12.621,12.273,
1251-0389497,299.5642361,35.1505222,YM,B,0.0,0.0,0.0,0.0,19.430,B,17.970,Y,17.040,B,14.973,14.285,14.067,
1251-0389498,299.5643528,35.1579694,YM,B,0.0,0.0,0.0,0.0,17.060,Y,16.740,Y,16.160,B,15.128,14.821,14.689,
1251-0389526,299.5704167,35.1752833,YM,B,2.0,8.0,8.0,2.0,18.810,B,17.810,Y,16.760,B,13.657,12.775,12.420,
1251-0389551,299.5749750,35.1698694,YM,B,0.0,0.0,0.0,0.0,17.370,Y,16.530,Y,16.150,B,13.707,13.122,12.893,
1251-0389593,299.5813056,35.1564139,YM,Y,76.9,9.0,68.2,9.0,18.350,Y,17.970,Y,,,16.672,16.274,15.317,
1251-0389596,299.5818722,35.1671056,YM,B,0.0,0.0,0.0,0.0,17.970,Y,17.470,Y,16.510,B,14.871,14.365,14.157,
1251-0389607,299.5834722,35.1531667,YM,B,0.0,0.0,0.0,0.0,18.950,B,17.930,Y,16.710,B,15.134,14.560,14.333,
1251-0389612,299.5845056,35.1521306,YM,B,0.0,0.0,0.0,0.0,19.240,B,17.790,Y,15.730,B,12.654,11.593,11.137,
1251-0389628,299.5883444,35.1662028,YM,B,0.0,0.0,0.0,0.0,17.740,Y,17.820,Y,16.480,B,15.272,14.615,14.480,
1251-0389701,299.6014342,35.1624319,YM,C,1.3,6.0,-3.2,5.4,15.640,Y,15.540,Y,14.920,B,13.804,13.392,13.221,
1251-0389709,299.6025222,35.1562917,YM,B,0.0,0.0,0.0,0.0,16.440,Y,15.910,Y,15.560,B,14.605,14.164,14.025,
1251-0389712,299.6028639,35.1596361,YM,B,6.0,2.0,-8.0,5.0,18.020,Y,17.810,Y,16.650,B,16.118,15.351,15.211,
1251-0389778,299.6146000,35.1413750,YM,B,10.0,3.0,2.0,2.0,17.090,Y,16.780,Y,16.170,B,15.003,14.641,14.410,
1251-0389781,299.6151583,35.1630972,YM,B,0.0,0.0,0.0,0.0,16.580,Y,16.170,Y,14.950,B,14.304,14.122,13.983,
1251-0389789,299.6165222,35.1471472,YM,B,0.0,0.0,0.0,0.0,18.720,B,17.120,Y,15.820,B,12.625,11.666,11.314,
1251-0389802,299.6202889,35.1693111,YM,B,0.0,0.0,0.0,0.0,17.360,Y,17.320,Y,16.140,B,14.862,14.169,13.938,
1251-0389809,299.6215639,35.1657361,YM,B,0.0,0.0,0.0,0.0,,,17.810,Y,17.520,B,15.701,14.968,14.650,
1251-0389814,299.6219286,35.1576172,YM,C,-2.8,5.4,-20.7,5.5,15.250,Y,14.770,Y,14.420,B,13.029,12.626,12.526,
1251-0389823,299.6245056,35.1611083,YM,B,0.0,0.0,0.0,0.0,16.410,B,16.370,Y,14.850,B,13.398,12.537,12.268,
